date,ticker,open,high,low,close,adjClose,volume,return,relative_trading_day,film,event_stage,announced_event_date
2023-04-11,MAT,17.829999923706055,17.93000030517578,17.729999542236328,17.799999237060547,17.799999237060547,2060700,0.003948093436633604,4,Barbie,Teaser trailer 2,2023-04-04
2023-04-12,MAT,17.989999771118164,17.989999771118164,17.40999984741211,17.43000030517578,17.43000030517578,2036400,-0.02078645773840304,5,Barbie,Teaser trailer 2,2023-04-04
2023-03-28,SPY,395.7699890136719,396.489990234375,393.69000244140625,395.6000061035156,379.7099914550781,62871700,-0.0022446881714187628,-5,Barbie,Teaser trailer 2,2023-04-04
2023-03-29,SPY,399.92999267578125,401.6000061035156,398.67999267578125,401.3500061035156,385.2290344238281,77497900,0.0145348900290998,-4,Barbie,Teaser trailer 2,2023-04-04
2023-03-30,SPY,404.0899963378906,404.3500061035156,401.760009765625,403.70001220703125,387.48468017578125,69840000,0.005855336826640745,-3,Barbie,Teaser trailer 2,2023-04-04
2023-03-31,SPY,404.6600036621094,409.70001220703125,404.54998779296875,409.3900146484375,392.9461669921875,112062600,0.01409471676126306,-2,Barbie,Teaser trailer 2,2023-04-04
2023-04-03,SPY,408.8500061035156,411.3699951171875,408.44000244140625,410.95001220703125,394.44342041015625,67391100,0.0038103270721012716,-1,Barbie,Teaser trailer 2,2023-04-04
2023-04-04,SPY,411.6199951171875,411.9200134277344,407.239990234375,408.6700134277344,392.2550354003906,66601500,-0.005548032738104891,0,Barbie,Teaser trailer 2,2023-04-04
2023-04-05,SPY,407.9100036621094,408.70001220703125,405.8800048828125,407.6000061035156,391.22802734375,65200200,-0.002618215099756016,1,Barbie,Teaser trailer 2,2023-04-04
2023-04-06,SPY,406.7699890136719,409.4800109863281,405.67999267578125,409.19000244140625,392.7541198730469,63743300,0.003900775053511163,2,Barbie,Teaser trailer 2,2023-04-04
2023-04-10,SPY,406.6099853515625,409.69000244140625,405.9700012207031,409.6099853515625,393.1572570800781,63681000,0.0010264366091476962,3,Barbie,Teaser trailer 2,2023-04-04
2023-04-11,SPY,410.260009765625,411.17999267578125,408.9200134277344,409.7200012207031,393.2628173828125,59297900,0.0002684938426886774,4,Barbie,Teaser trailer 2,2023-04-04
2023-04-12,SPY,411.8699951171875,412.1700134277344,407.44000244140625,408.04998779296875,391.6599426269531,86420400,-0.004075836018585743,5,Barbie,Teaser trailer 2,2023-04-04
2023-05-18,MAT,18.940000534057617,19.030000686645508,18.760000228881836,19.010000228881836,19.010000228881836,1449900,0.004226092045237939,-5,Barbie,Main trailer,2023-05-25
2023-05-19,MAT,19.010000228881836,19.100000381469727,18.389999389648438,18.549999237060547,18.549999237060547,1932700,-0.024197842518823953,-4,Barbie,Main trailer,2023-05-25
2023-05-22,MAT,18.579999923706055,18.579999923706055,18.309999465942383,18.399999618530273,18.399999618530273,1696700,-0.00808623313744361,-3,Barbie,Main trailer,2023-05-25
2023-05-23,MAT,18.270000457763672,18.469999313354492,18.040000915527344,18.09000015258789,18.09000015258789,2287300,-0.01684779741137543,-2,Barbie,Main trailer,2023-05-25
2023-05-24,MAT,18.0,18.270000457763672,17.979999542236328,18.25,18.25,3132400,0.00884465705154902,-1,Barbie,Main trailer,2023-05-25
2023-05-25,MAT,18.149999618530273,18.299999237060547,17.850000381469727,17.860000610351562,17.860000610351562,1761200,-0.0213698295697774,0,Barbie,Main trailer,2023-05-25
2023-05-26,MAT,17.829999923706055,18.100000381469727,17.760000228881836,17.90999984741211,17.90999984741211,1654300,0.002799509258222921,1,Barbie,Main trailer,2023-05-25
2023-05-30,MAT,18.030000686645508,18.040000915527344,17.75,17.850000381469727,17.850000381469727,1538300,-0.003350053961672872,2,Barbie,Main trailer,2023-05-25
2023-05-31,MAT,17.739999771118164,17.81999969482422,17.389999389648438,17.40999984741211,17.40999984741211,2323600,-0.02464988933638268,3,Barbie,Main trailer,2023-05-25
2023-06-01,MAT,17.389999389648438,17.530000686645508,17.260000228881836,17.530000686645508,17.530000686645508,1617600,0.006892638729760536,4,Barbie,Main trailer,2023-05-25
2023-06-02,MAT,17.809999465942383,18.110000610351562,17.75,18.079999923706055,18.079999923706055,1573500,0.031374741330132405,5,Barbie,Main trailer,2023-05-25
2023-05-18,SPY,414.8999938964844,419.6700134277344,414.6700134277344,419.2300109863281,402.3908996582031,97177200,0.0096332720942236,-5,Barbie,Main trailer,2023-05-25
2023-05-19,SPY,420.1700134277344,420.7200012207031,417.3500061035156,418.6199951171875,401.8053283691406,103793300,-0.0014552299506770394,-4,Barbie,Main trailer,2023-05-25
2023-05-22,SPY,418.6400146484375,420.3900146484375,417.3500061035156,418.7900085449219,401.9686279296875,60745400,0.0004064146217515052,-3,Barbie,Main trailer,2023-05-25
2023-05-23,SPY,417.0799865722656,418.7200012207031,413.67999267578125,414.0899963378906,397.45733642578125,86383500,-0.01122299401110316,-2,Barbie,Main trailer,2023-05-25
2023-05-24,SPY,412.4200134277344,412.82000732421875,409.8800048828125,411.0899963378906,394.5778503417969,89213700,-0.007244767727471735,-1,Barbie,Main trailer,2023-05-25
2023-05-25,SPY,414.739990234375,416.1600036621094,412.4100036621094,414.6499938964844,397.994873046875,90961600,0.008659945564907456,0,Barbie,Main trailer,2023-05-25
2023-05-26,SPY,415.3299865722656,420.7699890136719,415.25,420.0199890136719,403.14910888671875,93830000,0.012950508131889249,1,Barbie,Main trailer,2023-05-25
2023-05-30,SPY,422.0299987792969,422.5799865722656,418.739990234375,420.17999267578125,403.302734375,72216000,0.0003810636930476896,2,Barbie,Main trailer,2023-05-25
2023-05-31,SPY,418.2799987792969,419.2200012207031,416.2200012207031,417.8500061035156,401.0663146972656,110811800,-0.005545262868599576,3,Barbie,Main trailer,2023-05-25
2023-06-01,SPY,418.0899963378906,422.9200134277344,416.7900085449219,421.82000732421875,404.8768615722656,88865000,0.009501039442507908,4,Barbie,Main trailer,2023-05-25
2023-06-02,SPY,424.5,428.739990234375,423.95001220703125,427.9200134277344,410.7319030761719,91426200,0.014461289492240237,5,Barbie,Main trailer,2023-05-25
2023-07-14,MAT,22.06999969482422,22.06999969482422,21.200000762939453,21.440000534057617,21.440000534057617,4210700,-0.01741517718062746,-5,Barbie,US theatrical release,2023-07-21
2023-07-17,MAT,21.510000228881836,21.6299991607666,21.260000228881836,21.489999771118164,21.489999771118164,3954200,0.002332053909286147,-4,Barbie,US theatrical release,2023-07-21
2023-07-18,MAT,21.559999465942383,21.760000228881836,20.809999465942383,20.8700008392334,20.8700008392334,5719600,-0.028850578803543026,-3,Barbie,US theatrical release,2023-07-21
2023-07-19,MAT,20.950000762939453,21.229999542236328,20.729999542236328,21.040000915527344,21.040000915527344,6302100,0.008145666960126086,-2,Barbie,US theatrical release,2023-07-21
2023-07-20,MAT,21.079999923706055,21.34000015258789,20.790000915527344,21.270000457763672,21.270000457763672,5150200,0.01093153670286151,-1,Barbie,US theatrical release,2023-07-21
2023-07-21,MAT,21.549999237060547,21.59000015258789,21.09000015258789,21.18000030517578,21.18000030517578,7096900,-0.004231318789419181,0,Barbie,US theatrical release,2023-07-21
2023-07-24,MAT,21.649999618530273,21.760000228881836,21.290000915527344,21.56999969482422,21.56999969482422,7556300,0.0184135686510416,1,Barbie,US theatrical release,2023-07-21
2023-07-25,MAT,21.6299991607666,21.780000686645508,21.110000610351562,21.170000076293945,21.170000076293945,4683200,-0.01854425703243079,2,Barbie,US theatrical release,2023-07-21
2023-07-26,MAT,20.84000015258789,21.34000015258789,20.700000762939453,21.31999969482422,21.31999969482422,5455400,0.007085480301827873,3,Barbie,US theatrical release,2023-07-21
2023-07-27,MAT,21.559999465942383,22.639999389648438,21.139999389648438,21.239999771118164,21.239999771118164,7686300,-0.0037523416909558405,4,Barbie,US theatrical release,2023-07-21
2023-07-28,MAT,21.440000534057617,21.5,20.600000381469727,20.729999542236328,20.729999542236328,4823600,-0.024011310469754688,5,Barbie,US theatrical release,2023-07-21
2023-07-14,SPY,450.4800109863281,451.3599853515625,448.489990234375,449.2799987792969,432.8357238769531,69815800,-0.0006228860891427379,-5,Barbie,US theatrical release,2023-07-21
2023-07-17,SPY,449.1300048828125,451.92999267578125,449.0799865722656,450.8399963378906,434.338623046875,52680200,0.0034722161018971853,-4,Barbie,US theatrical release,2023-07-21
2023-07-18,SPY,450.5,454.8599853515625,450.04998779296875,454.19000244140625,437.56597900390625,80668200,0.007430506489133792,-3,Barbie,US theatrical release,2023-07-21
2023-07-19,SPY,455.010009765625,456.42999267578125,454.1099853515625,455.20001220703125,438.5390930175781,65891700,0.0022239252144033994,-2,Barbie,US theatrical release,2023-07-21
2023-07-20,SPY,454.1700134277344,455.1000061035156,451.44000244140625,452.17999267578125,435.6296081542969,70591600,-0.006634493730675484,-1,Barbie,US theatrical release,2023-07-21
2023-07-21,SPY,453.9599914550781,454.1700134277344,452.1700134277344,452.17999267578125,435.6296081542969,71275600,0.0,0,Barbie,US theatrical release,2023-07-21
2023-07-24,SPY,453.3699951171875,455.0400085449219,452.29998779296875,454.20001220703125,437.5756530761719,54023400,0.004467200772050761,1,Barbie,US theatrical release,2023-07-21
2023-07-25,SPY,453.9200134277344,456.739990234375,453.8699951171875,455.44000244140625,438.770263671875,55191200,0.0027300664177838385,2,Barbie,US theatrical release,2023-07-21
2023-07-26,SPY,454.4700012207031,456.989990234375,453.3800048828125,455.510009765625,438.837646484375,71052900,0.000153571967106636,3,Barbie,US theatrical release,2023-07-21
2023-07-27,SPY,459.0199890136719,459.44000244140625,451.54998779296875,452.489990234375,435.92822265625,92194400,-0.006629841016223326,4,Barbie,US theatrical release,2023-07-21
2023-07-28,SPY,455.8800048828125,457.7799987792969,452.489990234375,456.9200134277344,440.1961975097656,80011800,0.009790544937672285,5,Barbie,US theatrical release,2023-07-21
