date,ticker,sector,sentiment,sector_augmented_sentiment,observed_news,article_count,reliability,usable_sentiment_lag1,usable_reliability_lag1
2020-12-29,INTC,Tech,0.046224999999999995,0.046224999999999995,1,8.0,0.5,0.3980333333333334,0.5
2020-12-30,INTC,Tech,0.152025,0.197175,1,8.0,0.5,0.046224999999999995,0.5
2020-12-31,INTC,Tech,0.10115,0.10115,1,2.0,0.30657359638272924,0.152025,0.5
2021-01-04,INTC,Tech,0.10145,0.10145,1,10.0,0.5,0.10115,0.30657359638272924
2021-01-05,INTC,Tech,0.0,0.0,1,2.0,0.30657359638272924,0.10145,0.5
2021-01-06,INTC,Tech,0.28886,0.28886,1,5.0,0.5,0.0,0.30657359638272924
2021-01-07,INTC,Tech,-0.020079999999999997,-0.020079999999999997,1,5.0,0.5,0.28886,0.5
2021-01-08,INTC,Tech,0.22455,0.22455,1,2.0,0.30657359638272924,-0.020079999999999997,0.5
2021-01-11,INTC,Tech,0.02234444444444445,0.02234444444444445,1,9.0,0.5,0.22455,0.30657359638272924
2021-01-12,INTC,Tech,-0.07024999999999999,-0.07024999999999999,1,6.0,0.5,0.02234444444444445,0.5
2021-01-13,INTC,Tech,0.11692608695652175,0.1307608695652174,1,23.0,0.5,-0.07024999999999999,0.5
2021-01-14,INTC,Tech,0.12323999999999999,0.12323999999999999,1,10.0,0.5,0.11692608695652175,0.5
2021-01-15,INTC,Tech,0.09478,0.09478,1,5.0,0.5,0.12323999999999999,0.5
2021-01-19,INTC,Tech,0.08847692307692306,0.08847692307692306,1,13.0,0.5,0.09478,0.5
2021-01-20,INTC,Tech,0.14236666666666667,0.14236666666666667,1,6.0,0.5,0.08847692307692306,0.5
2021-01-21,INTC,Tech,0.24975,0.24975,1,12.0,0.5,0.14236666666666667,0.5
2021-01-22,INTC,Tech,-0.019733333333333332,-0.019733333333333332,1,15.0,0.5,0.24975,0.5
2021-01-25,INTC,Tech,0.1812,0.1812,1,9.0,0.5,-0.019733333333333332,0.5
2021-01-26,INTC,Tech,0.39074,0.39074,1,5.0,0.5,0.1812,0.5
2021-01-27,INTC,Tech,0.5086,0.5086,1,3.0,0.3868528072345416,0.39074,0.5
2021-01-28,INTC,Tech,0.024244444444444443,0.010377777777777776,1,9.0,0.5,0.5086,0.3868528072345416
2021-01-29,INTC,Tech,0.0,0.0,1,1.0,0.1934264036172708,0.024244444444444443,0.5
2021-02-01,INTC,Tech,0.2598285714285714,0.2598285714285714,1,7.0,0.5,0.0,0.1934264036172708
2021-02-02,INTC,Tech,0.23835,0.23835,1,2.0,0.30657359638272924,0.2598285714285714,0.5
2021-02-03,INTC,Tech,0.11155,0.11155,1,4.0,0.4491222008519636,0.23835,0.30657359638272924
2021-02-04,INTC,Tech,0.17151428571428573,0.17151428571428573,1,7.0,0.5,0.11155,0.4491222008519636
2021-02-05,INTC,Tech,0.2159,0.2159,1,2.0,0.30657359638272924,0.17151428571428573,0.5
2021-02-08,INTC,Tech,0.0,0.0,0,0.0,0.0,0.2159,0.30657359638272924
2021-02-09,INTC,Tech,0.17,0.17,1,2.0,0.30657359638272924,0.0,0.0
2021-02-10,INTC,Tech,-0.031450000000000006,-0.031450000000000006,1,2.0,0.30657359638272924,0.17,0.30657359638272924
2021-02-11,INTC,Tech,0.07338,0.07338,1,10.0,0.5,-0.031450000000000006,0.30657359638272924
2021-02-12,INTC,Tech,0.3592,0.3592,1,2.0,0.30657359638272924,0.07338,0.5
2021-02-16,INTC,Tech,0.0,0.0,1,2.0,0.30657359638272924,0.3592,0.30657359638272924
2021-02-17,INTC,Tech,0.23026666666666665,0.3506666666666667,1,3.0,0.3868528072345416,0.0,0.30657359638272924
2021-02-18,INTC,Tech,-0.08729999999999999,-0.08729999999999999,1,3.0,0.3868528072345416,0.23026666666666665,0.3868528072345416
2021-02-19,INTC,Tech,0.0,0.0,1,1.0,0.1934264036172708,-0.08729999999999999,0.3868528072345416
2021-02-22,INTC,Tech,0.3452,0.3452,1,2.0,0.30657359638272924,0.0,0.1934264036172708
2021-02-23,INTC,Tech,0.267525,0.267525,1,4.0,0.4491222008519636,0.3452,0.30657359638272924
2021-02-24,INTC,Tech,0.07773333333333333,0.07773333333333333,1,3.0,0.3868528072345416,0.267525,0.4491222008519636
2021-02-25,INTC,Tech,0.0258,0.0258,1,2.0,0.30657359638272924,0.07773333333333333,0.3868528072345416
2021-02-26,INTC,Tech,-0.05052499999999999,-0.05052499999999999,1,4.0,0.4491222008519636,0.0258,0.30657359638272924
2021-03-01,INTC,Tech,0.0647,0.12506666666666666,1,3.0,0.3868528072345416,-0.05052499999999999,0.4491222008519636
2021-03-02,INTC,Tech,-0.37986666666666663,-0.37986666666666663,1,3.0,0.3868528072345416,0.0647,0.3868528072345416
2021-03-03,INTC,Tech,0.0,0.0,1,1.0,0.1934264036172708,-0.37986666666666663,0.3868528072345416
2021-03-04,INTC,Tech,0.0,0.0,0,0.0,0.0,0.0,0.1934264036172708
2021-03-05,INTC,Tech,0.0734,0.0734,1,6.0,0.5,0.0,0.0
2021-03-08,INTC,Tech,0.4019,0.4019,1,1.0,0.1934264036172708,0.0734,0.5
2021-03-09,INTC,Tech,-0.05052499999999999,-0.05052499999999999,1,4.0,0.4491222008519636,0.4019,0.1934264036172708
2021-03-10,INTC,Tech,0.0,0.0,1,1.0,0.1934264036172708,-0.05052499999999999,0.4491222008519636
2021-03-11,INTC,Tech,0.14794285714285715,0.1771,1,7.0,0.5,0.0,0.1934264036172708
2021-03-12,INTC,Tech,0.4019,0.4019,1,1.0,0.1934264036172708,0.14794285714285715,0.5
2021-03-15,INTC,Tech,0.12954,0.0573,1,5.0,0.5,0.4019,0.1934264036172708
2021-03-16,INTC,Tech,-0.03962000000000001,-0.03962000000000001,1,5.0,0.5,0.12954,0.5
2021-03-17,INTC,Tech,0.4006,0.3832,1,3.0,0.3868528072345416,-0.03962000000000001,0.5
2021-03-18,INTC,Tech,0.12726666666666667,0.12726666666666667,1,3.0,0.3868528072345416,0.4006,0.3868528072345416
2021-03-19,INTC,Tech,0.0,0.0,1,1.0,0.1934264036172708,0.12726666666666667,0.3868528072345416
2021-03-22,INTC,Tech,0.306075,0.306075,1,4.0,0.4491222008519636,0.0,0.1934264036172708
2021-03-23,INTC,Tech,0.18453333333333333,0.18453333333333333,1,6.0,0.5,0.306075,0.4491222008519636
2021-03-24,INTC,Tech,0.1278,0.1278,1,17.0,0.5,0.18453333333333333,0.5
2021-03-25,INTC,Tech,-0.13499999999999995,-0.13499999999999995,1,5.0,0.5,0.1278,0.5
